"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098974","postsynaptic actin cytoskeleton organization","2/9","17/18888",0.117647058823529,246.901960784314,22.1463544651991,2.73471745045653e-05,0.00265968474758895,0.00112522547870799,"POTEJ/POTEE",2
"GO:0021516","dorsal spinal cord development","2/9","20/18888",0.1,209.866666666667,20.4048990972315,3.81772930275926e-05,0.00265968474758895,0.00112522547870799,"LHX5/UNCX",2
"GO:0099188","postsynaptic cytoskeleton organization","2/9","20/18888",0.1,209.866666666667,20.4048990972315,3.81772930275926e-05,0.00265968474758895,0.00112522547870799,"POTEJ/POTEE",2
"GO:0090118","receptor-mediated endocytosis involved in cholesterol transport","1/9","10/18888",0.1,209.866666666667,14.4246205182786,0.0047558567817475,0.0456484438017084,0.0193123610140695,"ANXA2P2",1
"GO:0098598","learned vocalization behavior or vocal learning","1/9","10/18888",0.1,209.866666666667,14.4246205182786,0.0047558567817475,0.0456484438017084,0.0193123610140695,"NEUROG1",1
"GO:0021562","vestibulocochlear nerve development","1/9","11/18888",0.0909090909090909,190.787878787879,13.7471153928433,0.00523033486676516,0.0456484438017084,0.0193123610140695,"NEUROG1",1
"GO:0021603","cranial nerve formation","1/9","11/18888",0.0909090909090909,190.787878787879,13.7471153928433,0.00523033486676516,0.0456484438017084,0.0193123610140695,"NEUROG1",1
"GO:0030432","peristalsis","1/9","12/18888",0.0833333333333333,174.888888888889,13.1559048193233,0.00570461186979498,0.0456484438017084,0.0193123610140695,"NEUROG1",1
"GO:0031223","auditory behavior","1/9","12/18888",0.0833333333333333,174.888888888889,13.1559048193233,0.00570461186979498,0.0456484438017084,0.0193123610140695,"NEUROG1",1
"GO:0032380","regulation of intracellular sterol transport","1/9","12/18888",0.0833333333333333,174.888888888889,13.1559048193233,0.00570461186979498,0.0456484438017084,0.0193123610140695,"ANXA2P2",1
"GO:0032383","regulation of intracellular cholesterol transport","1/9","12/18888",0.0833333333333333,174.888888888889,13.1559048193233,0.00570461186979498,0.0456484438017084,0.0193123610140695,"ANXA2P2",1
"GO:0021559","trigeminal nerve development","1/9","13/18888",0.0769230769230769,161.435897435897,12.6340617612436,0.00617868786540721,0.0456484438017084,0.0193123610140695,"NEUROG1",1
"GO:0032377","regulation of intracellular lipid transport","1/9","13/18888",0.0769230769230769,161.435897435897,12.6340617612436,0.00617868786540721,0.0456484438017084,0.0193123610140695,"ANXA2P2",1
"GO:0046541","saliva secretion","1/9","13/18888",0.0769230769230769,161.435897435897,12.6340617612436,0.00617868786540721,0.0456484438017084,0.0193123610140695,"NEUROG1",1
"GO:0051610","serotonin uptake","1/9","13/18888",0.0769230769230769,161.435897435897,12.6340617612436,0.00617868786540721,0.0456484438017084,0.0193123610140695,"SLC18A3",1
"GO:0007638","mechanosensory behavior","1/9","14/18888",0.0714285714285714,149.904761904762,12.1689716866063,0.00665256292814709,0.0456484438017084,0.0193123610140695,"NEUROG1",1
"GO:1901077","regulation of relaxation of muscle","1/9","14/18888",0.0714285714285714,149.904761904762,12.1689716866063,0.00665256292814709,0.0456484438017084,0.0193123610140695,"NEUROG1",1
"GO:0060457","negative regulation of digestive system process","1/9","15/18888",0.0666666666666667,139.911111111111,11.7510154250805,0.00712623713253602,0.0456484438017084,0.0193123610140695,"NEUROG1",1
"GO:0140014","mitotic nuclear division","2/9","277/18888",0.0072202166064982,15.1528279181709,5.18097513283022,0.00720764902132238,0.0456484438017084,0.0193123610140695,"NEUROG1/KIFC1",2
"GO:0045165","cell fate commitment","2/9","289/18888",0.0069204152249135,14.5236447520185,5.05837625005252,0.00782355649452622,0.0459745295840676,0.019450317225191,"BHLHE23/NEUROG1",2
"GO:0001956","positive regulation of neurotransmitter secretion","1/9","17/18888",0.0588235294117647,123.450980392157,11.0281463707175,0.00807298326423445,0.0459745295840676,0.019450317225191,"SLC18A3",1
"GO:0071625","vocalization behavior","1/9","19/18888",0.0526315789473684,110.456140350877,10.4221120933513,0.00901892685620465,0.0459745295840676,0.019450317225191,"NEUROG1",1
"GO:0007351","tripartite regional subdivision","1/9","20/18888",0.05,104.933333333333,10.1536028383607,0.00949159788584564,0.0461335804219009,0.0195176064237707,"NEUROG1",1
"GO:0008595","anterior/posterior axis specification, embryo","1/9","20/18888",0.05,104.933333333333,10.1536028383607,0.00949159788584564,0.0461335804219009,0.0195176064237707,"NEUROG1",1
"GO:0051590","positive regulation of neurotransmitter transport","1/9","23/18888",0.0434782608695652,91.2463768115942,9.45537025889101,0.0109084088018808,0.0466368281140684,0.01973051403466,"SLC18A3",1
"GO:0098743","cell aggregation","1/9","23/18888",0.0434782608695652,91.2463768115942,9.45537025889101,0.0109084088018808,0.0466368281140684,0.01973051403466,"UNCX",1
"GO:0048634","regulation of muscle organ development","1/9","24/18888",0.0416666666666667,87.4444444444444,9.25207332865315,0.0113802786307057,0.0466368281140684,0.01973051403466,"NEUROG1",1
"GO:0090103","cochlea morphogenesis","1/9","24/18888",0.0416666666666667,87.4444444444444,9.25207332865315,0.0113802786307057,0.0466368281140684,0.01973051403466,"NEUROG1",1
